iter: 3510   # psnr: 29.1590  # ssim: 0.9657  
iter: 3520   # psnr: 29.0829  # ssim: 0.9713  
iter: 3530   # psnr: 28.9101  # ssim: 0.9684  
iter: 3540   # psnr: 29.5955  # ssim: 0.9699  
iter: 3550   # psnr: 28.7365  # ssim: 0.9654  
iter: 3560   # psnr: 28.5199  # ssim: 0.9666  
iter: 3570   # psnr: 28.1725  # ssim: 0.9617  
iter: 3580   # psnr: 29.2556  # ssim: 0.9703  
iter: 3590   # psnr: 28.5597  # ssim: 0.9641  
iter: 3600   # psnr: 28.1457  # ssim: 0.9669  
iter: 3610   # psnr: 28.9920  # ssim: 0.9666  
iter: 3620   # psnr: 28.9430  # ssim: 0.9649  
iter: 3630   # psnr: 28.9794  # ssim: 0.9687  
iter: 3640   # psnr: 29.2308  # ssim: 0.9675  
iter: 3650   # psnr: 28.0363  # ssim: 0.9602  
iter: 3660   # psnr: 29.3478  # ssim: 0.9696  
iter: 3670   # psnr: 28.4882  # ssim: 0.9675  
iter: 3680   # psnr: 29.2020  # ssim: 0.9616  
iter: 3690   # psnr: 29.5516  # ssim: 0.9692  
iter: 3700   # psnr: 29.0452  # ssim: 0.9663  
iter: 3710   # psnr: 29.7516  # ssim: 0.9700  
iter: 3720   # psnr: 28.7950  # ssim: 0.9661  
iter: 3730   # psnr: 29.1573  # ssim: 0.9688  
iter: 3740   # psnr: 29.2316  # ssim: 0.9691  
iter: 3750   # psnr: 28.9348  # ssim: 0.9687  
iter: 3760   # psnr: 29.0029  # ssim: 0.9684  
iter: 3770   # psnr: 28.1887  # ssim: 0.9646  
iter: 3780   # psnr: 28.5264  # ssim: 0.9664  
iter: 3790   # psnr: 28.7028  # ssim: 0.9669  
iter: 3800   # psnr: 29.0856  # ssim: 0.9691  
iter: 3810   # psnr: 29.1956  # ssim: 0.9679  
iter: 3820   # psnr: 29.2574  # ssim: 0.9715  
iter: 3830   # psnr: 29.3963  # ssim: 0.9689  
iter: 3840   # psnr: 29.4390  # ssim: 0.9690  
iter: 3850   # psnr: 29.7249  # ssim: 0.9711  
iter: 3860   # psnr: 28.9073  # ssim: 0.9698  
iter: 3870   # psnr: 28.8803  # ssim: 0.9637  
